CXCL11,-483.2279359,11.54088006,10.15394154,11.30191575,12585.76416,2149.419303,18276.49802
CCL2,-386.841343,167.5337155,253.1454059,113.1697378,393757.5911,10224.57091,214909.058
AKAP12,-327.8532411,7.59934923,21.81523885,7.045481574,3863.986172,3599.266437,5726.841952
CXCL11,-275.6395499,49.7345479,34.84194438,27.76896655,22715.50219,4176.033239,24359.97126
AKAP12,-218.2329022,11.39465026,13.88631096,6.562765127,1856.312368,2295.299441,1360.174812
231067_s_at,-179.5995415,55.98433185,54.07906313,12.37974085,9998.65525,2622.822688,4551.981633
CYP1B1,-168.6652533,24.49669634,37.86915551,19.24148619,14527.55358,1273.485023,11545.09151
AKAP12,-150.5938297,20.18919062,38.48656487,8.856248621,5007.015296,2096.442735,2814.34554
CYP1A1,-137.6865221,24.80766781,35.61597251,16.03289595,6038.678206,1674.01045,7363.951703
CTTNBP2,-131.7189866,8.765201048,7.294385861,4.962928603,1280.701424,630.2930561,1407.271817
CDKN1A,-124.5551042,84.39537473,262.9303951,122.9193405,38366.86635,6169.822685,51729.98068
TNFRSF9,-120.4199531,8.612376278,15.69806897,7.975001176,4541.147435,282.3932845,3671.568877
QPCT,-112.22591,44.17691081,82.94915474,88.86407747,16664.791,3313.810167,13782.32238
ANXA2,-112.0598882,297.7998424,251.0045196,223.4770605,43846.44684,18280.84778,49897.46537
ANXA2,-106.2470249,304.369534,257.5199254,227.6931839,41436.68856,18028.73293,48997.35103
ANXA2,-93.0926784,369.9121213,388.5241381,288.6845453,46439.37072,21299.11743,58993.09696
LPXN,-84.74507959,279.6952773,230.3515354,322.7153402,35119.36321,14355.39527,22387.47988
TNFRSF9,-77.69953778,100.6887418,64.70732672,70.91229736,17720.69343,1665.762827,23801.41204
ANXA1,-75.89971216,68.84466114,160.4355352,35.06759243,4335.716384,6030.32566,11021.09938
IL10RA,-71.98249897,105.649405,155.5887611,49.07699485,13635.13309,2671.825565,10152.19413
IL8,-71.3286036,224.1643042,550.4162383,167.6155517,81479.16716,4919.668466,54743.47141
BHLHE40,-69.81070605,134.4893918,237.8808337,618.624934,45484.5357,7283.229394,26457.57235
229074_at,-67.73798963,53.90088503,72.65443516,90.74508129,13787.49538,1790.743587,5194.278328
SLC7A11,-67.43872129,84.05023634,13.49266484,11.44592151,2242.114319,1197.692464,5711.025878
KYNU,-66.96082218,48.15110416,40.87815104,28.40212828,15488.80493,474.5564961,14895.83143
